t_s,requests,p50_us,p95_us,p99_us,max_us
43.2,9680,101.1,217.2,303.8,582.2
43.3,9475,103.5,216.7,311.9,630.7
43.4,10237,95.3,205.7,287.0,912.4
43.5,10194,95.6,203.4,271.4,1113.4
43.6,9936,97.3,213.0,296.6,867.1
43.7,10029,98.3,201.3,279.7,1154.2
43.8,9790,99.1,212.5,303.1,684.6
43.9,9812,100.5,208.8,309.2,1001.8
44.0,9281,107.8,214.3,305.0,728.9
44.1,9592,104.0,205.8,283.5,651.7
44.2,9120,107.9,227.6,317.3,846.0
44.3,9520,104.1,213.9,298.4,716.3
44.4,9600,104.6,206.0,284.6,895.5
44.5,9477,104.7,212.6,298.6,1107.0
44.6,9548,103.0,216.8,300.4,599.1
44.7,9116,106.8,231.4,349.1,880.6
44.8,9702,101.5,210.6,300.0,516.8
44.9,9409,106.5,208.8,298.3,1141.7
